"year","region","colour.name","stars"
1900,"bordeaux","red",5
1900,"bordeaux","white",4
1900,"burgundy","red",1.5
1900,"burgundy","white",1.5
1901,"bordeaux","red",1.5
1901,"bordeaux","white",1.5
1901,"burgundy","red",1.5
1901,"burgundy","white",1.5
1902,"bordeaux","red",1.5
1902,"bordeaux","white",1.5
1902,"burgundy","red",1.5
1902,"burgundy","white",1.5
1903,"bordeaux","red",1.5
1903,"bordeaux","white",1.5
1903,"burgundy","red",1.5
1903,"burgundy","white",1.5
1904,"bordeaux","red",4
1904,"bordeaux","white",4
1904,"burgundy","red",4
1904,"burgundy","white",1.5
1905,"bordeaux","red",3
1905,"bordeaux","white",1.5
1905,"burgundy","red",1.5
1905,"burgundy","white",1.5
1906,"bordeaux","red",3
1906,"bordeaux","white",5
1906,"burgundy","red",5
1906,"burgundy","white",5
1907,"bordeaux","red",1.5
1907,"bordeaux","white",1.5
1907,"burgundy","red",1.5
1907,"burgundy","white",1.5
1908,"bordeaux","red",1.5
1908,"bordeaux","white",1.5
1908,"burgundy","red",1.5
1908,"burgundy","white",1.5
1909,"bordeaux","red",1.5
1909,"bordeaux","white",4
1909,"burgundy","red",1.5
1909,"burgundy","white",1.5
1910,"bordeaux","red",1.5
1910,"bordeaux","white",1.5
1910,"burgundy","red",1.5
1910,"burgundy","white",1.5
1911,"bordeaux","red",4
1911,"bordeaux","white",1.5
1911,"burgundy","red",5
1911,"burgundy","white",1.5
1912,"bordeaux","red",1.5
1912,"bordeaux","white",1.5
1912,"burgundy","red",1.5
1912,"burgundy","white",1.5
1913,"bordeaux","red",1.5
1913,"bordeaux","white",1.5
1913,"burgundy","red",1.5
1913,"burgundy","white",1.5
1914,"bordeaux","red",3
1914,"bordeaux","white",3
1914,"burgundy","red",3
1914,"burgundy","white",1.5
1915,"bordeaux","red",1.5
1915,"bordeaux","white",1.5
1915,"burgundy","red",5
1915,"burgundy","white",1.5
1916,"bordeaux","red",1.5
1916,"bordeaux","white",1.5
1916,"burgundy","red",3
1916,"burgundy","white",1.5
1917,"bordeaux","red",1.5
1917,"bordeaux","white",1.5
1917,"burgundy","red",1.5
1917,"burgundy","white",1.5
1918,"bordeaux","red",3
1918,"bordeaux","white",3
1918,"burgundy","red",3
1918,"burgundy","white",1.5
1919,"bordeaux","red",3
1919,"bordeaux","white",1.5
1919,"burgundy","red",5
1919,"burgundy","white",4
1920,"bordeaux","red",5
1920,"bordeaux","white",3
1920,"burgundy","red",4
1920,"burgundy","white",1.5
1921,"bordeaux","red",4
1921,"bordeaux","white",5
1921,"burgundy","red",3
1921,"burgundy","white",1.5
1922,"bordeaux","red",1.5
1922,"bordeaux","white",1.5
1922,"burgundy","red",1.5
1922,"burgundy","white",1.5
1923,"bordeaux","red",1.5
1923,"bordeaux","white",3
1923,"burgundy","red",4
1923,"burgundy","white",4
1924,"bordeaux","red",3
1924,"bordeaux","white",3
1924,"burgundy","red",3
1924,"burgundy","white",1.5
1925,"bordeaux","red",1.5
1925,"bordeaux","white",1.5
1925,"burgundy","red",1.5
1925,"burgundy","white",1.5
1926,"bordeaux","red",5
1926,"bordeaux","white",4
1926,"burgundy","red",4
1926,"burgundy","white",1.5
1927,"bordeaux","red",1.5
1927,"bordeaux","white",1.5
1927,"burgundy","red",1.5
1927,"burgundy","white",1.5
1928,"bordeaux","red",5
1928,"bordeaux","white",4
1928,"burgundy","red",4
1928,"burgundy","white",5
1929,"bordeaux","red",5
1929,"bordeaux","white",5
1929,"burgundy","red",5
1929,"burgundy","white",4
1930,"bordeaux","red",1.5
1930,"bordeaux","white",1.5
1930,"burgundy","red",1.5
1930,"burgundy","white",1.5
1931,"bordeaux","red",1.5
1931,"bordeaux","white",1.5
1931,"burgundy","red",1.5
1931,"burgundy","white",1.5
1932,"bordeaux","red",1.5
1932,"bordeaux","white",1.5
1932,"burgundy","red",1.5
1932,"burgundy","white",1.5
1933,"bordeaux","red",3
1933,"bordeaux","white",1.5
1933,"burgundy","red",4
1933,"burgundy","white",1.5
1934,"bordeaux","red",4
1934,"bordeaux","white",4
1934,"burgundy","red",4
1934,"burgundy","white",4
1935,"bordeaux","red",1.5
1935,"bordeaux","white",3
1935,"burgundy","red",3
1935,"burgundy","white",1.5
1936,"bordeaux","red",1.5
1936,"bordeaux","white",1.5
1936,"burgundy","red",1.5
1936,"burgundy","white",1.5
1937,"bordeaux","red",1.5
1937,"bordeaux","white",5
1937,"burgundy","red",5
1937,"burgundy","white",4
1938,"bordeaux","red",1.5
1938,"bordeaux","white",1.5
1938,"burgundy","red",1.5
1938,"burgundy","white",1.5
1939,"bordeaux","red",1.5
1939,"bordeaux","white",3
1939,"burgundy","red",1.5
1939,"burgundy","white",1.5
1940,"bordeaux","red",1.5
1940,"bordeaux","white",1.5
1940,"burgundy","red",1.5
1940,"burgundy","white",1.5
1941,"bordeaux","red",1.5
1941,"bordeaux","white",1.5
1941,"burgundy","red",1.5
1941,"burgundy","white",3
1942,"bordeaux","red",1.5
1942,"bordeaux","white",4
1942,"burgundy","red",3
1942,"burgundy","white",1.5
1943,"bordeaux","red",3
1943,"bordeaux","white",4
1943,"burgundy","red",4
1943,"burgundy","white",1.5
1944,"bordeaux","red",1.5
1944,"bordeaux","white",3
1944,"burgundy","red",1.5
1944,"burgundy","white",1.5
1945,"bordeaux","red",5
1945,"bordeaux","white",5
1945,"burgundy","red",5
1945,"burgundy","white",4
1946,"bordeaux","red",3
1946,"bordeaux","white",1.5
1946,"burgundy","red",1.5
1946,"burgundy","white",1.5
1947,"bordeaux","red",5
1947,"bordeaux","white",5
1947,"burgundy","red",4
1947,"burgundy","white",5
1948,"bordeaux","red",3
1948,"bordeaux","white",1.5
1948,"burgundy","red",1.5
1948,"burgundy","white",1.5
1949,"bordeaux","red",5
1949,"bordeaux","white",5
1949,"burgundy","red",5
1949,"burgundy","white",4
1950,"bordeaux","red",1.5
1950,"bordeaux","white",1.5
1950,"burgundy","red",1.5
1950,"burgundy","white",3
1951,"bordeaux","red",1.5
1951,"bordeaux","white",1.5
1951,"burgundy","red",1.5
1951,"burgundy","white",1.5
1952,"bordeaux","red",4
1952,"bordeaux","white",3
1952,"burgundy","red",4
1952,"burgundy","white",4
1953,"bordeaux","red",5
1953,"bordeaux","white",4
1953,"burgundy","red",4
1953,"burgundy","white",4
1954,"bordeaux","red",1.5
1954,"bordeaux","white",1.5
1954,"burgundy","red",1.5
1954,"burgundy","white",1.5
1955,"bordeaux","red",4
1955,"bordeaux","white",5
1955,"burgundy","red",3
1955,"burgundy","white",4
1956,"bordeaux","red",1.5
1956,"bordeaux","white",1.5
1956,"burgundy","red",1.5
1956,"burgundy","white",1.5
1957,"bordeaux","red",1.5
1957,"bordeaux","white",1.5
1957,"burgundy","red",3
1957,"burgundy","white",3
1958,"bordeaux","red",1.5
1958,"bordeaux","white",1.5
1958,"burgundy","red",1.5
1958,"burgundy","white",1.5
1959,"bordeaux","red",5
1959,"bordeaux","white",5
1959,"burgundy","red",5
1959,"burgundy","white",3
1960,"bordeaux","red",1.5
1960,"bordeaux","white",1.5
1960,"burgundy","red",1.5
1960,"burgundy","white",1.5
1961,"bordeaux","red",5
1961,"bordeaux","white",3
1961,"burgundy","red",4
1961,"burgundy","white",4
1962,"bordeaux","red",4
1962,"bordeaux","white",4
1962,"burgundy","red",5
1962,"burgundy","white",5
1963,"bordeaux","red",1.5
1963,"bordeaux","white",1.5
1963,"burgundy","red",1.5
1963,"burgundy","white",1.5
1964,"bordeaux","red",4
1964,"bordeaux","white",1.5
1964,"burgundy","red",4
1964,"burgundy","white",3
1965,"bordeaux","red",1.5
1965,"bordeaux","white",1.5
1965,"burgundy","red",1.5
1965,"burgundy","white",1.5
1966,"bordeaux","red",4
1966,"bordeaux","white",3
1966,"burgundy","red",4
1966,"burgundy","white",5
1967,"bordeaux","red",1.5
1967,"bordeaux","white",5
1967,"burgundy","red",1.5
1967,"burgundy","white",4
1968,"bordeaux","red",1.5
1968,"bordeaux","white",1.5
1968,"burgundy","red",1.5
1968,"burgundy","white",1.5
1969,"bordeaux","red",1.5
1969,"bordeaux","white",1.5
1969,"burgundy","red",5
1969,"burgundy","white",4
1970,"bordeaux","red",4
1970,"bordeaux","white",3
1970,"burgundy","red",1.5
1970,"burgundy","white",3
1971,"bordeaux","red",4
1971,"bordeaux","white",5
1971,"burgundy","red",4
1971,"burgundy","white",4
1972,"bordeaux","red",1.5
1972,"bordeaux","white",1.5
1972,"burgundy","red",3
1972,"burgundy","white",1.5
1973,"bordeaux","red",1.5
1973,"bordeaux","white",1.5
1973,"burgundy","red",1.5
1973,"burgundy","white",4
1974,"bordeaux","red",1.5
1974,"bordeaux","white",1.5
1974,"burgundy","red",1.5
1974,"burgundy","white",1.5
1975,"bordeaux","red",4
1975,"bordeaux","white",5
1975,"burgundy","red",1.5
1975,"burgundy","white",1.5
1976,"bordeaux","red",3
1976,"bordeaux","white",4
1976,"burgundy","red",3
1976,"burgundy","white",4
1977,"bordeaux","red",1.5
1977,"bordeaux","white",1.5
1977,"burgundy","red",1.5
1977,"burgundy","white",1.5
1978,"bordeaux","red",3
1978,"bordeaux","white",1.5
1978,"burgundy","red",5
1978,"burgundy","white",4
1979,"bordeaux","red",1.5
1979,"bordeaux","white",3
1979,"burgundy","red",3
1979,"burgundy","white",4
1980,"bordeaux","red",1.5
1980,"bordeaux","white",1.5
1980,"burgundy","red",3
1980,"burgundy","white",1.5
1981,"bordeaux","red",3
1981,"bordeaux","white",1.5
1981,"burgundy","red",1.5
1981,"burgundy","white",1.5
1982,"bordeaux","red",5
1982,"bordeaux","white",3
1982,"burgundy","red",1.5
1982,"burgundy","white",4
1983,"bordeaux","red",3
1983,"bordeaux","white",5
1983,"burgundy","red",3
1983,"burgundy","white",4
1984,"bordeaux","red",1.5
1984,"bordeaux","white",1.5
1984,"burgundy","red",1.5
1984,"burgundy","white",1.5
1985,"bordeaux","red",5
1985,"bordeaux","white",4
1985,"burgundy","red",5
1985,"burgundy","white",4
1986,"bordeaux","red",4
1986,"bordeaux","white",4
1986,"burgundy","red",4
1986,"burgundy","white",5
1987,"bordeaux","red",1.5
1987,"bordeaux","white",1.5
1987,"burgundy","red",3
1987,"burgundy","white",1.5
1988,"bordeaux","red",4
1988,"bordeaux","white",4
1988,"burgundy","red",5
1988,"burgundy","white",3
1989,"bordeaux","red",5
1989,"bordeaux","white",5
1989,"burgundy","red",4
1989,"burgundy","white",5
1990,"bordeaux","red",5
1990,"bordeaux","white",5
1990,"burgundy","red",5
1990,"burgundy","white",4
1991,"bordeaux","red",1.5
1991,"bordeaux","white",1.5
1991,"burgundy","red",1.5
1991,"burgundy","white",3
1992,"bordeaux","red",1.5
1992,"bordeaux","white",1.5
1992,"burgundy","red",3
1992,"burgundy","white",3
1993,"bordeaux","red",3
1993,"bordeaux","white",1.5
1993,"burgundy","red",4
1993,"burgundy","white",3
1994,"bordeaux","red",3
1994,"bordeaux","white",1.5
1994,"burgundy","red",3
1994,"burgundy","white",3
1995,"bordeaux","red",4
1995,"bordeaux","white",4
1995,"burgundy","red",4
1995,"burgundy","white",4
1996,"bordeaux","red",4
1996,"bordeaux","white",5
1996,"burgundy","red",4
1996,"burgundy","white",5
1997,"bordeaux","red",3
1997,"bordeaux","white",4
1997,"burgundy","red",4
1997,"burgundy","white",5
1998,"bordeaux","red",3
1998,"bordeaux","white",4
1998,"burgundy","red",4
1998,"burgundy","white",4
1999,"bordeaux","red",4
1999,"bordeaux","white",4
1999,"burgundy","red",5
1999,"burgundy","white",4
2000,"bordeaux","red",4
2000,"bordeaux","white",3
2000,"burgundy","red",3
2000,"burgundy","white",3
